Name,street add,zip,Lat,Lon,Category\
Bruegger's Bagel Bakery,422 Beaver St,15143,40.540608,-80.181178,Breakfast/Drink/Other\
Bruegger's Bagel Bakery,1644 Cochran Rd,15220,40.392512,-80.061581,Breakfast/Drink/Other\
Bruegger's Bagel Bakery,5213 Library Rd,15102,40.33414,-80.024069,Breakfast/Drink/Other\
Bruegger's Bagel Bakery,4885 McKnight Rd,15237,40.529616,-80.010025,Breakfast/Drink/Other\
Bruegger's Bagel Bakery,25 Market Pl,15222,40.441141,-80.003093,Breakfast/Drink/Other\
Bruegger's Bagel Bakery,429 4th Ave,15219,40.438516,-79.998355,Breakfast/Drink/Other\
Bruegger's Bagel Bakery,411 7th Ave,15219,40.44289,-79.996284,Breakfast/Drink/Other\
Bruegger's Bagel Bakery,1801 E Carson St,15203,40.428934,-79.9803,Breakfast/Drink/Other\
Bruegger's Bagel Bakery,5217 Clairton Blvd,15236,40.344196,-79.970964,Breakfast/Drink/Other\
Bruegger's Bagel Bakery,3714 Forbes Ave,15213,40.441276,-79.956953,Breakfast/Drink/Other\
Bruegger's Bagel Bakery,806 S Aiken St,15232,40.450725,-79.935724,Breakfast/Drink/Other\
Bruegger's Bagel Bakery,1719 Murray Ave,15217,40.437442,-79.92281,Breakfast/Drink/Other\
Bruegger's Bagel Bakery #064,1720 Washington Rd,15241,40.348144,-80.053825,Breakfast/Drink/Other\
Bruegger's Bagel Bakery #102,531 Grant St,15219,40.440636,-79.99663,Breakfast/Drink/Other\
Bruster's,9600 Perry Hwy,15237,40.581451,-80.037014,Breakfast/Drink/Other\
Bruster's #034,493 Lowries Run Rd,15237,40.533744,-80.049769,Breakfast/Drink/Other\
Bruster's Ice Cream,4937 Wm Flynn Hwy,15044,40.60412,-79.947196,Breakfast/Drink/Other\
Bruster's Ice Cream # 324,4940 Library Rd,15102,40.343815,-80.02743,Breakfast/Drink/Other\
Buon Giorno Cafe,20 Stanwix St,15222,40.43867,-80.005179,Breakfast/Drink/Other\
Buon Giorno Cafe,6 Smithfield St,15222,40.436865,-80.000512,Breakfast/Drink/Other\
Burger King #463,4885 Wm Flynn Hwy,15101,40.601937,-79.947769,Dollar Menu\
Burger King #668,909 Butler St,15223,40.511166,-79.947464,Dollar Menu\
Burger King #670,1002 Emeryville Dr,16046,40.67299,-80.100335,Dollar Menu\
Burger King #671,105 Ohio River Blvd,15143,40.559373,-80.165185,Dollar Menu\
Burger King #2249,1901 Golden Mile Hwy / Route 286,15239,40.452215,-79.712942,Dollar Menu\
Burger King #2546,2799 Freeport Rd,15238,40.538533,-79.833257,Dollar Menu\
Burger King #2679,10955 Perry Hwy,15090,40.6174967,-80.0561118,Dollar Menu\
Burger King #3030,1901 Lincoln Hwy,15137,40.368281,-79.777485,Dollar Menu\
Burger King #3855,2900 Brownsville Rd,15210,40.382367,-79.976914,Dollar Menu\
Burger King #4192,1820 Carson St,15203,40.428448,-79.979541,Dollar Menu\
Burger King #4350,3220 Library Rd,15234,40.36966,-80.011616,Dollar Menu\
Burger King #7351,4490 Broadway Blvd,15146,40.391506,-79.766588,Dollar Menu\
Burger King #11346,5940 University Blvd,15108,40.521857,-80.218024,Dollar Menu\
Burger King #11672,415 Home Dr,15275,40.450283,-80.182053,Dollar Menu\
Burger King #12195,121 Walmart Dr,15137,40.386212,-79.82183,Dollar Menu\
Burger King #12789,5240 Library Rd,15102,40.331439,-80.023107,Dollar Menu\
Burger King # 17292,920 Ohio River Blvd,15202,40.494987,-80.066264,Dollar Menu\
Cafe 4350,4350 Northern Pike,15146,40.4247021,-79.7412095,Breakfast/Drink/Other\
Cafe Du Jour,1107 E Carson St,15203,40.428895,-79.987145,Breakfast/Drink/Other\
Calibrations Cafe,1 Life Way,15205,40.439826,-80.1580566,Breakfast/Drink/Other\
CCAC West Hills Cafe,1000 McKee Rd,15071,40.436961,-80.193237,Breakfast/Drink/Other\
Chan An Restaurant,2013 Wharton St,15203,40.430381,-79.977263,Take Out\
Chan An Restaurants,37 Walsh Rd,15205,40.439312,-80.071078,Take Out\
Charley's Grilled Subs #170,200 Monroeville Mall,15146,40.429183,-79.795459,Take Out\
Charley's Grilled Subs #363,447 Pittsburgh Mills Cir,15084,40.637815,-79.796052,Take Out\
Charley's Grilled Subs #448,1000 Ross Park Mall Dr,15237,40.538969,-80.007711,Take Out\
Charley's Grilled Subs #466,100 Robinson Center Dr,15205,40.454124,-80.161164,Take Out\
Charley's Grilled Subs #472, Pgh Intl Airport / Ac-02c,15231,40.495309,-80.235291,Take Out\
Charley's Grilled Subs #530,120 5th Ave,15222,40.441888,-80.003443,Take Out\
Charley's Philly Steaks #4,3075 Clairton Blvd / Century III Mall / Rm 736,15123,40.340291,-79.938522,Take Out\
Chick-Fil-A, Pgh Int'L Airport / Ac-20a/B,15231,40.495309,-80.235291,NO Dollar Menu\
Chick-Fil-A,121 Costco Dr,15205,40.457857,-80.167892,NO Dollar Menu\
Chick-Fil-A,1000 Ross Park Mall Dr,15237,40.538969,-80.007711,NO Dollar Menu\
Chick-Fil-A,461 Clairton Blvd,15236,40.335106,-79.946515,NO Dollar Menu\
Chick-Fil-A,480 E Waterfront Dr,15120,40.4127,-79.90791,NO Dollar Menu\
Chick-Fil-A #01297,100 Robinson Center Dr,15205,40.454124,-80.161164,NO Dollar Menu\
Chick-Fil-A #1765,1620 Washington Rd,15241,40.351995,-80.051541,NO Dollar Menu\
Chick-Fil-A #2091,4040 Wm Penn Hwy / Miracle Mile,15146,40.437773,-79.764981,NO Dollar Menu\
China House,2001 Lincoln Way,15131,40.337364,-79.805396,Take Out\
China House II,7400 Church St,15218,40.422307,-79.889321,Take Out\
China Max,100 Robinson Center Dr,15205,40.454124,-80.161164,Take Out\
China Max,301 South Hills Village - Fc2,15241,40.32057,-80.087015,Take Out\
China Palace,4059 Wm Penn Hwy,15146,40.440293,-79.769793,Take Out\
China Wok,1202 5th Ave,15219,40.438484,-79.988796,Take Out\
